mapgrass.tga Grass
mapshadeland.tga ShadeLand
mapsavanna.tga Savanna
mapfield.tga Arid
mapsand.tga Desert
mapjungle.tga Shadow_Swamp
mapstone.tga Gravel
mapwaste.tga Cracked_Earth
mapash.tga Ash
mapashwaste.tga Dark_Stone
mapsnow.tga Snow
mapcoast.tga Dust
mapwater.tga Shallow_Ocean
mapfrozen.tga Ice
mapdeep.tga Deep_Ocean
mapshadesavanna Obsidian
maplava.tga Magma
mapcave.tga Cavern_Floor
mapsky.tga Sky
mapthunder.tga Thunder_Cloud
mapcloud.tga Cloud
mapflames.tga Fire
mapvoid.tga Void
mapblacksea.tga Shadow_Water
mapcloud2.tga Dispersing_Cloud
mapriver.tga River
mapnothing.tga Transparent
mapford.tga Tropical_Water
mapswamp.tga Mesa
